rowid,product_id,customer_id,price,total_price
2463,5600,47305,3210,9630
2464,7759,8496,1907,9535
2465,6983,71771,1774,8870
2466,8712,73078,3036,6072
2467,6743,46974,3841,3841
2468,8826,19053,2690,8070
2469,5600,78377,3210,6420
2470,8233,46024,1789,8945
2471,7119,88720,2613,5226
2472,7815,6008,1846,9230
2473,6071,80196,2002,8008
2474,5910,8458,4876,9752
2475,7892,89114,560,2240
2476,8359,87647,1590,4770
2477,6369,59946,810,810
2478,7294,44177,2214,11070
2479,8177,18677,3101,15505
2480,6610,24737,1539,4617
2481,6357,3961,2732,10928
2482,5971,37276,1268,6340
2483,6707,16343,4743,4743
2484,7028,39395,2619,5238
2485,5975,5532,1228,1228
2486,7820,28924,2287,4574
2487,8410,60026,2669,2669
2488,7110,14842,4974,4974
2489,8769,58969,3913,19565
2490,7378,17272,4270,8540
2491,7033,52619,540,1620
2492,6854,50501,1863,5589
2493,5872,83394,196,588
2494,5787,20311,3832,11496
2495,8012,85816,4606,4606
2496,5787,56133,3832,19160
2497,6181,37876,986,2958
2498,8668,24025,176,528
2499,7338,78822,57,228
2500,6814,50471,2797,11188
2501,7761,79923,4701,4701
2502,8352,53363,3976,3976
2503,8431,26437,294,294
2504,7403,10986,4216,8432
2505,7584,42647,1453,5812
2506,8532,54034,937,2811
2507,5804,27311,387,387
2508,8087,3490,2732,10928
2509,8590,41231,1179,3537
2510,6602,16789,565,2260
2511,7380,16990,1461,5844
2512,6666,89011,296,296
2513,7088,12026,4432,22160
2514,6013,8845,1456,1456
2515,6914,45648,3569,7138
2516,7501,45257,4392,17568
2517,6097,27879,449,449
2518,8624,7192,3573,7146
2519,6882,27440,2740,8220
2520,8347,9055,4404,17616
2521,7132,18273,1784,8920
2522,8895,63524,1729,1729
2523,6231,48690,680,2040
2524,7878,22156,3273,6546
2525,8694,12008,1304,6520
2526,8370,14400,2061,10305
2527,5963,26502,1205,1205
2528,6833,45707,1482,1482
2529,8881,56329,2296,4592
2530,6413,54053,2812,2812
2531,5960,88196,1126,3378
2532,7215,58112,2535,2535
2533,6147,31121,1026,3078
2534,5731,62933,2178,4356
2535,8324,956,3654,7308
2536,8094,35933,858,4290
2537,7480,65600,1952,1952
2538,6080,63852,3004,3004
2539,7524,8051,3627,7254
2540,6003,51334,1641,6564
2541,8300,30197,4712,23560
2542,8818,13895,548,2192
2543,5909,38819,1235,4940
2544,6303,4938,2098,2098
2545,8921,55265,473,2365
2546,8655,32950,3957,19785
2547,8399,69823,563,2815
2548,6663,66222,3833,3833
2549,6008,11776,648,1944
2550,8716,47155,2377,4754
2551,6450,6724,2741,8223
2552,6774,39051,4844,19376
2553,6912,84199,1449,1449
2554,8280,71453,490,1960
2555,7669,76645,2067,2067
2556,8092,89844,1942,1942
2557,6956,56469,994,2982
2558,7437,17414,2483,12415
2559,7616,37989,1770,8850
2560,8374,3769,3037,15185
2561,7537,20102,1811,7244
2562,7598,37842,109,218
2563,8192,85138,2559,2559
2564,6199,43826,2746,8238
2565,6630,60024,1621,4863
2566,6453,37171,1318,1318
2567,6938,39531,3308,6616
2568,7439,51280,2279,9116
2569,8628,35788,1681,1681
2570,7244,19357,4243,8486
2571,8976,74025,3289,9867
2572,6909,43000,3620,10860
2573,7680,17550,973,4865
2574,6485,22178,2909,8727
2575,6157,89617,218,872
2576,8299,57818,3078,9234
2577,6365,38264,1954,1954
2578,6601,79388,4661,9322
2579,8603,60307,509,509
2580,7362,10341,1101,3303
2581,8477,83303,1235,2470
2582,8959,55581,2188,2188
2583,6866,26635,2869,5738
2584,5927,3231,897,897
2585,7553,64293,3646,7292
2586,5794,87141,314,1256
2587,6521,6513,2873,14365
2588,7173,46368,3630,14520
2589,6220,29231,1015,4060
2590,5956,5924,2731,13655
2591,6023,44868,1040,5200
2592,8107,44279,4168,12504
2593,7840,6532,3143,6286
2594,6334,28924,3008,9024
2595,8712,23664,3036,15180
2596,7218,47301,3326,16630
2597,7840,73839,3143,15715
2598,6442,46967,4387,4387
2599,7505,26114,2989,14945
2600,8681,65392,2170,6510
2601,6194,20381,3580,3580
2602,5966,39624,1318,6590
2603,8708,2360,3089,3089
2604,6991,41176,1119,3357
2605,8711,63757,3391,6782
1302,6304,12350,1186,5930
1303,8414,3462,3262,13048
1304,6517,17886,3160,6320
1305,7634,78879,2096,6288
1306,6009,60922,3391,16955
1307,5982,4065,2838,11352
1308,7139,8060,936,4680
1309,8305,59469,3066,3066
1310,8888,44178,4433,13299
1311,7683,475,4121,4121
1312,7344,8322,3945,11835
1313,8476,7289,4538,22690
1314,8523,78939,655,3275
1315,8311,74840,1666,1666
1316,8339,46765,886,4430
1317,8052,11051,1214,2428
1318,8626,81596,77,77
1319,6971,77511,81,405
1320,5734,55274,1750,3500
1321,6968,67872,4793,19172
1322,7467,52230,1729,1729
1323,6588,13700,2927,5854
1324,7782,28493,1626,1626
1325,7328,40656,4418,13254
1326,7916,2153,4636,18544
1327,7794,60280,339,1695
1328,6034,28596,2365,11825
1329,7608,70948,4892,24460
1330,8476,45511,4538,18152
1331,6646,60509,2428,2428
1332,6535,8327,895,4475
1333,8573,13491,2718,10872
1334,7868,6283,3457,6914
1335,6241,29156,2263,6789
1336,8986,3397,4418,13254
1337,6530,16281,3602,10806
1338,8540,1647,1494,1494
1339,8518,66624,595,1785
1340,8484,23964,4365,21825
1341,8459,79198,3228,16140
1342,8628,34789,1681,8405
1343,6587,86253,1112,5560
1344,6727,11016,3236,16180
1345,6434,44406,2825,11300
1346,8977,39977,3781,18905
1347,8410,69774,2669,2669
1348,7295,52204,3727,7454
1349,8874,14076,2169,6507
1350,6307,34071,1186,5930
1351,8805,69534,1230,4920
1352,7975,57106,176,528
1353,6969,86331,1047,4188
1354,5872,86853,196,392
1355,6083,22905,4833,24165
1356,6433,78291,3234,9702
1357,6070,26984,3523,7046
1358,6509,68476,3121,3121
1359,6375,29849,1836,9180
1360,7306,36652,86,172
1361,7628,42404,2372,2372
1362,8088,51991,3984,15936
1363,7728,62810,4754,4754
1364,7368,77385,4394,13182
1365,8165,11945,4149,20745
1366,6582,68555,1099,1099
1367,7441,8500,2970,5940
1368,7449,88375,3065,9195
1369,8553,75496,1008,4032
1370,7294,15532,2214,8856
1371,8258,87363,2842,2842
1372,6454,49801,1794,3588
1373,6126,20709,3672,7344
1374,5662,60873,4620,23100
1375,7351,24602,565,1695
1376,8249,63861,769,3845
1377,5680,89403,2641,7923
1378,6355,75028,2474,4948
1379,6971,18886,81,162
1380,8142,61565,3550,3550
1381,5841,89387,3728,11184
1382,6582,11705,1099,3297
1383,8225,7922,4702,4702
1384,8953,45523,4840,19360
1385,7173,88997,3630,10890
1386,6709,59654,702,3510
1387,7765,30990,100,100
1388,8693,17202,1521,7605
1389,8198,18987,758,1516
1390,8038,31043,4460,13380
1391,5966,87552,1318,1318
1392,8619,79987,161,322
1393,8349,68080,4912,24560
1394,8030,27140,2733,10932
1395,8489,1612,252,1260
1396,8847,31731,2417,7251
1397,7612,14906,239,717
1398,7545,35340,1803,5409
1399,7852,10271,70,70
1400,8071,86588,3861,3861
1401,8891,2384,3381,10143
1402,6958,76887,2906,14530
1403,7764,28890,3278,3278
1404,8541,53379,1527,6108
1405,6454,66915,1794,1794
1406,6387,3242,3408,10224
1407,8377,21562,2523,10092
1408,7656,45009,3120,12480
1409,7294,31741,2214,8856
1410,5643,58825,1619,1619
1411,7321,8976,4010,16040
1412,8048,38671,1797,7188
1413,7107,14470,2133,6399
1414,5662,28580,4620,4620
1415,8376,27256,4585,9170
1416,6708,67606,2279,2279
1417,5913,36322,4310,12930
1418,6142,56544,4415,8830
1419,8891,60190,3381,13524
1420,7321,53660,4010,16040
1421,8519,72346,3054,6108
1422,8486,77569,3589,7178
1423,5825,48778,4740,14220
1424,6759,64444,1350,1350
1425,7190,13521,2748,5496
1426,5980,61778,4793,9586
1427,5662,47494,4620,18480
1428,8395,14872,366,1464
1429,6800,4831,2616,10464
1430,6352,81398,738,2214
1431,8335,85750,977,4885
1432,7041,70332,534,2136
1433,5679,46072,1454,2908
1434,8213,62987,4656,18624
1435,7452,24483,1608,6432
1436,7030,9501,2933,11732
1437,6347,30719,149,298
1438,6070,65174,3523,7046
1439,8629,75978,621,621
1440,8189,76770,366,1830
1441,5874,28156,4587,13761
1442,7506,85127,3978,19890
1443,6302,29432,1717,8585
1444,7487,17034,165,330
1445,6290,25792,1450,4350
1446,8397,82935,412,2060
1447,8825,10547,1506,6024
1448,5940,53360,4598,13794
1449,8782,23651,695,695
1450,7850,27380,164,656
1451,7849,21139,2007,2007
1452,7518,40816,2570,12850
1453,5945,54991,2448,7344
1454,6348,36739,823,823
1455,8108,55875,1038,1038
1456,8295,50550,206,412
1457,8074,71841,3289,3289
1458,5809,39527,111,111
1459,7520,37868,4711,4711
1460,8298,65599,2072,8288
1461,5672,82984,1276,2552
1462,7232,44991,3079,3079
1463,8179,41504,3582,3582
1464,7168,79051,690,690
1465,7123,28491,4876,9752
1466,6031,86046,2403,4806
1467,6935,85930,4327,21635
1468,8449,7462,4885,4885
1469,6899,46567,1530,6120
1470,7162,61546,2514,12570
1471,7132,54526,1784,5352
1472,7385,26136,1818,1818
1473,7064,2578,965,2895
1474,6850,78019,716,3580
1475,5668,8498,4805,24025
1476,7064,79970,965,1930
1477,7799,33851,1774,1774
1478,6980,17826,2549,7647
1479,8399,2833,563,1126
1480,5888,71128,3797,3797
1481,7273,72756,2077,8308
1482,6355,85138,2474,2474
1483,5656,22536,1689,8445
1484,6356,38963,2224,2224
1485,6573,61032,1292,2584
1486,7951,51880,3892,11676
1487,8103,59636,158,474
1488,6472,40560,2470,4940
1489,8968,62670,1829,3658
1490,7056,404,3086,9258
1491,5986,33819,3826,11478
1492,6246,8698,4513,18052
1493,6049,27908,3919,7838
1494,5947,38982,2129,2129
1495,7409,80640,3125,6250
1496,7607,66718,1425,4275
1497,8733,34937,1300,1300
1498,6839,73439,3758,18790
1499,6938,35404,3308,13232
1500,8980,59770,2475,12375
1501,5642,45930,4567,22835
1502,8357,1483,2924,2924
1503,6053,25731,1219,4876
1504,6301,25726,2446,4892
1505,7994,54983,2176,8704
1506,8234,34987,169,507
1507,6538,69267,2256,6768
1508,6162,70119,3522,3522
1509,8466,19554,3965,3965
1510,8082,5296,1533,4599
1511,6346,76989,3045,15225
1512,8774,26528,1765,7060
1513,7500,55040,3285,3285
1514,6601,22958,4661,4661
1515,8532,56127,937,3748
1516,7983,70095,3339,16695
1517,5911,43830,4555,13665
1518,6850,45815,716,1432
1519,7047,72784,4434,22170
1520,8035,57779,4973,4973
1521,6754,64502,2813,2813
1522,8191,64169,4587,4587
1523,6932,21474,2176,10880
1524,8886,65358,1334,6670
1525,5756,21336,4270,4270
1526,5611,42880,1544,1544
1527,5650,44465,4884,24420
1528,8539,354,2420,4840
1529,7987,17865,1535,1535
1530,6754,63697,2813,2813
1531,8321,40214,2125,10625
1532,6210,52995,760,1520
1533,6485,278,2909,11636
1534,6594,33568,1411,4233
1535,8145,126,1143,4572
1536,8390,30013,4096,12288
1537,8512,71339,3430,17150
1538,5635,66833,149,298
1539,6787,22564,2005,6015
1540,8477,56701,1235,3705
1541,6758,33497,4019,20095
1542,5709,66329,157,628
1543,6814,64616,2797,11188
1544,5727,83245,2463,12315
1545,8536,2361,4846,9692
1546,7319,29062,4464,13392
1547,5652,79352,90,90
1548,8450,53768,1077,4308
1549,7840,73045,3143,9429
1550,8204,87331,4309,21545
1551,8964,19277,314,1256
1552,8941,6134,4224,12672
1553,7540,24677,4446,4446
1554,7434,43135,630,1260
1555,8039,53042,935,935
1556,7565,3731,2498,12490
1557,8203,20452,4007,16028
1558,6312,15438,3996,3996
1559,6169,9165,4232,4232
1560,7110,39907,4974,14922
1561,7901,74111,1196,3588
1562,6671,54740,2601,7803
1563,6537,88721,601,3005
1564,6060,14052,227,227
1565,7281,15730,2448,7344
1566,8311,38562,1666,1666
1567,8103,84141,158,316
1568,5910,11776,4876,4876
1569,8970,81131,2870,14350
1570,7833,77529,426,1704
1571,6897,6330,4787,4787
1572,7942,69964,2183,6549
1573,7609,30990,3920,15680
1574,7801,34935,594,2970
1575,7051,67915,580,2900
1576,8770,87752,4533,13599
1577,7575,6523,3761,7522
1578,5709,45988,157,157
1579,8981,3102,3089,15445
1580,7697,81478,4202,21010
1581,7753,88500,1153,4612
1582,5690,11903,2560,5120
1583,6719,25432,4217,4217
1584,8075,45517,618,1236
1585,7906,81278,1951,5853
1586,5652,4759,90,270
1587,6090,9600,1292,1292
1588,8940,52951,3715,14860
1589,6267,88828,2748,2748
1590,7380,50630,1461,5844
1591,6882,76886,2740,2740
1592,5960,4483,1126,2252
1593,5911,41952,4555,18220
1594,7680,9882,973,1946
1595,6917,1764,490,1470
1596,6978,23402,1782,1782
1597,6936,9787,3340,13360
1598,8502,28683,264,792
1599,5654,46387,3861,11583
1600,5607,19231,1164,1164
1601,7365,46684,2741,13705
1602,8136,30567,1755,8775
1603,6386,43415,3572,10716
1604,8941,58326,4224,8448
1605,6868,33540,4800,19200
1606,7740,70604,4415,22075
1607,5706,6148,317,1585
1608,8532,58827,937,1874
1609,7518,79647,2570,10280
1610,6040,56116,4221,21105
1611,8854,30594,1492,1492
1612,7186,10510,2691,8073
1613,6315,77783,4825,14475
1614,8156,53869,2011,8044
1615,8969,57147,4612,9224
1616,7009,11809,4850,9700
1617,6932,76483,2176,8704
1618,8967,24593,4385,21925
1619,8005,9600,3558,14232
1620,6123,18088,4075,20375
1621,6154,58622,1122,1122
1622,7204,59580,4523,13569
1623,8313,38455,2036,8144
1624,6782,21568,2391,7173
1625,6749,25232,1544,7720
1626,6841,7182,1816,3632
1627,6681,56627,836,2508
1628,8225,23997,4702,14106
1629,6451,61744,3339,13356
1630,7834,78076,1109,4436
1631,6276,45518,522,1566
1632,7971,76138,405,810
1633,5901,67505,1812,5436
1634,7954,11093,3590,17950
1635,5941,51498,3577,14308
1636,7591,75334,3770,3770
1637,8685,64164,512,512
1638,7381,50173,1243,3729
1639,8635,38477,122,610
1640,6168,73192,1638,8190
1641,7409,30126,3125,12500
1642,6866,32566,2869,2869
1643,8024,28746,4506,13518
1644,6703,31916,1007,4028
1645,5834,8722,1877,3754
1646,8313,80073,2036,8144
1647,7241,39348,993,2979
1648,8589,32672,631,2524
1649,7788,66731,4244,4244
1650,8861,41732,661,3305
1651,6638,16201,3802,19010
1652,6646,86126,2428,7284
1653,8489,41474,252,1008
1654,6440,27724,3674,3674
1655,7002,61178,1500,1500
1656,6462,6947,2616,13080
1657,6946,84691,1061,2122
1658,7881,83840,2414,7242
1659,6325,7680,4073,16292
1660,5880,84912,431,1293
1661,7164,41252,2018,10090
1662,7296,38550,3079,6158
1663,6276,58164,522,2610
1664,6785,36163,4764,14292
1665,7343,56929,4338,13014
1666,7917,38,2254,6762
1667,8429,29854,3156,6312
1668,6162,14003,3522,17610
1669,6282,33144,1668,1668
1670,7078,66848,1444,1444
1671,5664,72823,3546,7092
1672,7628,23814,2372,11860
1673,6374,28736,1860,3720
1674,7098,40638,3803,19015
1675,7385,60672,1818,1818
1676,6032,5295,2910,8730
1677,8518,40427,595,2380
1678,6535,53632,895,4475
1679,8749,67670,4418,8836
1680,6019,14572,1419,7095
1681,6882,20970,2740,5480
1682,8758,15189,3775,11325
1683,7660,65753,3254,16270
1684,6521,85198,2873,2873
1685,6551,19188,1078,3234
1686,8018,47327,4300,8600
1687,6484,75291,3975,7950
1688,5678,89484,3706,11118
1689,8024,87466,4506,9012
1690,5708,87243,1569,7845
1691,8714,13566,3174,9522
1692,7342,40210,2062,8248
1693,7131,2960,887,1774
1694,7791,42201,2138,10690
1695,5829,82711,4439,17756
1696,6315,18400,4825,19300
1697,8462,62121,2281,6843
1698,7769,76154,3048,12192
1699,6020,14122,3279,6558
1700,6813,64986,1519,1519
1701,7591,487,3770,7540
1702,5668,2165,4805,19220
1703,8796,25477,528,2112
1704,5670,64661,2853,11412
1705,8492,20898,4091,4091
1706,6773,17915,3516,14064
1707,8192,87092,2559,2559
1708,5613,14687,1119,2238
1709,6253,78356,1763,7052
1710,7872,43466,576,2880
1711,6602,77381,565,2260
1712,8073,2085,4440,13320
1713,6042,23449,4820,24100
1714,8094,47924,858,2574
1715,7701,28114,802,3208
1716,7903,6287,797,2391
1717,6299,61359,2864,2864
1718,8480,19076,720,3600
1719,7009,79429,4850,24250
1720,6302,60627,1717,8585
1721,6909,50736,3620,10860
1722,6990,45673,406,1624
1723,5831,45150,4728,9456
1724,7766,40182,3656,18280
1725,8918,46566,2420,4840
1726,5725,84912,1304,3912
1727,8817,18729,1233,1233
1728,6129,30213,2665,5330
1729,6098,6403,2273,11365
1730,7475,62889,3649,14596
1731,6214,86343,4748,9496
1732,6099,48141,2117,2117
1733,7978,41996,4189,4189
1734,6725,28444,4797,23985
1735,5662,60077,4620,18480
1736,8647,88478,3823,11469
1737,8081,45226,3783,11349
1738,6303,81099,2098,8392
1739,6573,43134,1292,6460
1740,7960,3593,321,321
1741,6753,48024,558,2790
1742,8317,85601,1130,5650
1743,8177,54556,3101,15505
1744,6738,17855,4884,19536
1745,8203,71529,4007,8014
1746,8324,9549,3654,18270
1747,6739,42165,230,230
1748,7934,66817,4391,8782
1749,8363,40303,4895,4895
1750,7188,85871,4337,17348
1751,7218,28430,3326,3326
1752,7879,83773,513,1026
1753,6612,6740,4690,14070
1754,7638,15235,3758,15032
1755,6666,45394,296,296
1756,6565,82008,2892,11568
1757,6099,70118,2117,8468
1758,6316,20907,4070,20350
1759,7035,76732,1223,3669
1760,6145,74286,280,560
1761,7449,23090,3065,6130
1762,8850,61330,1827,5481
1763,8820,46285,3202,9606
1764,7115,27553,169,169
1765,6377,12241,79,395
1766,8909,22084,3166,3166
1767,8347,9560,4404,22020
1768,6754,48671,2813,11252
1769,7917,35971,2254,4508
1770,8881,22750,2296,2296
1771,5763,40379,1823,7292
1772,7896,37856,3911,3911
1773,7319,39324,4464,4464
1774,6215,80192,3095,15475
1775,8265,84884,762,3048
1776,8487,86170,2260,6780
1777,5808,31541,4182,20910
1778,7474,87487,654,1962
1779,7709,80166,606,1818
1780,6220,85014,1015,2030
1781,6839,22085,3758,15032
1782,5764,14125,4884,19536
1783,5927,47767,897,1794
1784,6301,37001,2446,12230
1785,6681,971,836,3344
1786,8963,57717,2639,5278
1787,8685,78770,512,2048
1788,8151,67508,709,2127
1789,8111,16538,2622,7866
1790,8302,48844,1229,1229
1791,6493,12799,2985,2985
1792,7689,43629,2216,6648
1793,7826,35281,1188,1188
1794,7217,52101,715,715
1795,7180,77460,2879,5758
1796,8555,27293,224,672
1797,8459,68510,3228,9684
1798,7473,76,2700,8100
1799,6142,55538,4415,22075
1800,8873,27435,3442,17210
1801,8339,81168,886,886
1802,6608,8336,1928,1928
1803,7471,79176,4620,23100
1804,6762,27600,3223,3223
1805,5772,75714,4214,21070
1806,8817,50690,1233,6165
1807,6098,69384,2273,4546
1808,8982,20998,3426,10278
1809,6103,85814,1818,5454
1810,7957,45325,4109,16436
1811,7592,7517,4297,12891
1812,7766,6771,3656,7312
1813,6080,68131,3004,15020
1814,6167,15273,1210,2420
1815,6618,14027,4748,9496
1816,6215,67616,3095,15475
1817,7071,66389,1727,5181
1818,8885,30735,2901,2901
1819,7977,13706,4157,16628
1820,6194,22156,3580,14320
1821,7680,64331,973,1946
1822,8484,51028,4365,13095
1823,7661,82924,4446,8892
1824,6968,45909,4793,4793
1825,5954,25125,1751,8755
1826,7150,34419,3727,3727
1827,8170,14509,3474,6948
1828,7015,45870,3096,12384
1829,6668,30980,2037,2037
1830,6049,18301,3919,19595
1831,8960,67488,1603,3206
1832,7923,9812,369,1107
1833,8191,59199,4587,9174
1834,8499,9774,3386,13544
1835,5650,65623,4884,14652
1836,7533,54334,4172,16688
1837,6010,63480,4463,17852
1838,8854,52825,1492,4476
1839,8860,48960,1741,6964
1840,5951,25294,3299,16495
1841,8692,59559,3459,17295
1842,7241,20809,993,1986
1843,5714,55132,1845,3690
1844,6139,51616,1139,2278
1845,5809,38941,111,333
1846,7392,55987,3974,15896
1847,8417,12241,1882,7528
1848,8910,23657,3698,11094
1849,6521,43955,2873,8619
1850,7994,87117,2176,6528
1851,6390,58810,2830,2830
1852,6295,55547,282,1410
1853,6409,71152,4413,22065
1854,8580,13709,220,660
1855,5633,73202,3415,17075
1856,5706,68512,317,634
1857,8760,18075,2356,2356
1858,8603,75531,509,1527
1859,6013,56290,1456,2912
1860,7174,82448,1091,2182
1861,7974,59347,1131,4524
1862,7849,37628,2007,2007
1863,7981,16349,3451,13804
1864,7473,57072,2700,13500
1865,8294,64389,4058,8116
1866,6731,85324,4074,20370
1867,8487,51092,2260,2260
1868,7486,52843,1344,2688
1869,6329,89121,4682,4682
1870,8803,46669,310,1240
1871,8301,16069,1594,4782
1872,6833,16003,1482,1482
1873,6484,51614,3975,3975
1874,8940,35510,3715,7430
1875,8841,13700,4660,13980
1876,8885,9208,2901,5802
1877,8711,59393,3391,10173
1878,8407,59208,4725,9450
1879,8318,64929,4610,23050
1880,6218,7919,4495,8990
1881,7015,29297,3096,15480
1882,7491,67035,1434,2868
1883,6060,31084,227,454
1884,7449,84864,3065,15325
1885,7890,63852,4621,4621
1886,7571,70458,1024,3072
1887,8251,86442,3029,12116
1888,7223,6418,2483,7449
1889,8895,50732,1729,8645
1890,7192,8054,918,1836
1891,7500,33769,3285,6570
1892,7594,67793,827,827
1893,5861,17535,3973,19865
1894,5758,44801,294,588
1895,6302,45226,1717,5151
1896,8915,56240,972,1944
1897,7003,10223,3186,12744
1898,8135,66313,4438,4438
1899,6047,89967,3056,15280
1900,6969,40096,1047,1047
1901,7142,54474,147,735
1902,8962,70414,2618,2618
1903,7355,56037,1958,3916
1904,7277,66362,4321,21605
1905,6931,13357,4895,9790
1906,8894,21260,640,640
1907,5683,57710,2310,2310
1908,8198,16985,758,758
1909,6594,31387,1411,5644
1910,8146,3962,2768,11072
1911,7474,15021,654,3270
1912,5740,89750,1465,2930
1913,7384,87048,650,650
1914,8460,61087,598,1196
1915,7840,16339,3143,6286
1916,7287,47779,1010,2020
1917,8822,33409,4683,18732
1918,8193,34528,2242,2242
1919,7566,14090,1137,2274
1920,6975,4905,1201,2402
1921,7745,3162,797,3985
1922,7897,47034,3578,3578
1923,8099,3754,1831,5493
1924,6916,70735,888,888
1925,8987,79528,1188,5940
1926,8305,65337,3066,12264
1927,8342,87172,700,2100
1928,6050,57019,4182,20910
1929,8035,21305,4973,9946
1930,8862,88420,2956,8868
1931,7190,26746,2748,5496
1932,6600,57300,506,506
1933,6189,79152,1118,2236
1934,8386,23486,3081,6162
1935,8560,1020,4247,16988
1936,6222,18886,1617,6468
1937,7513,6962,1319,6595
1938,6436,51930,3413,17065
1939,5931,64875,4912,4912
1940,8336,57331,4572,18288
1941,5834,82416,1877,5631
1942,8932,56992,4842,14526
1943,6646,14944,2428,2428
1944,7558,62394,2262,4524
1945,7978,75129,4189,4189
1946,6412,23910,938,3752
1947,7635,82420,4829,24145
1948,8804,22526,3116,6232
1949,8302,60859,1229,2458
